GLYMA_13G050200
GLYMA_19G039100
Vigun04g068600.1
Phvul.004G046800.1
Vigun05g024300.1
Phvul.008G022700.1
NIK1
Vigun02g028600.1
Phvul.003G044400.1
GLYMA_02G127800
NIK2
GRMZM2G145720
GRMZM2G349665
GRMZM2G019317
Vigun03g375300.1
Phvul.003G152900.1
AT2G23950.1
Vigun02g079200.1
Phvul.002G064400.1
GLYMA_02G036500
GLYMA_01G028700
NIK3
GRMZM2G067675
GRMZM2G010693
Vigun06g189200.1
Phvul.006G174400.1
GRMZM2G146794
